Actions,Action Reasoning
'm 0 222','Cluster 222 waveforms have more than 3 phases.'
'm 0 218','Cluster 218 waveforms are very noisy at beginning and end samples.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 239','Cluster 239 waveforms have more than 3 phases.'
's 104','Cluster 104 waveforms have too much variability throughout; '
's 104','Cluster 104 waveforms have too much variability throughout; '
'm 0 213','Cluster 213 has too broad of a triphasic waveform.'
'm 0 242','Cluster 242 has too broad of a depolarization phase.'
'm 0 253','Cluster 253 waveforms have more than 3 phases including two major apparent depolarization events.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 115','Cluster 115 waveforms do not repolarize quick enough.'
'm 0 104','Cluster 104 has too broad a waveform with too much variability and too few spikes.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 143','Cluster 143 waveforms do not repolarize quick enough.'
'm 0 152','Cluster 152 waveforms have more than 3 phases.'
'm 0 248','Cluster 248 waveforms have more than 3 phases.'
'm 0 165','Cluster 165 has too much waveform variability for too few spikes.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 117','Cluster 117 waveforms do not repolarize quick enough.'
'm 0 128','Cluster 128 waveforms have too much noise throughout waveform with too few spikes.'
'm 0 159','Cluster 159 has too much noise at beginning of waveform.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 13','Cluster 13 waveforms have too much variability throughout waveform for too few spikes.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 145','Cluster 145 waveforms start off too far from baseline.'
'm 0 57','Cluster 57 waveforms have too much variability throughout with too few spikes.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
's 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 7','Cluster 7 waveforms are monophasic.'
'm 0 66','Cluster 66 waveforms do not repolarize quick enough.'
'm 0 74','Cluster 74 waveforms do not repolarize quick enough.'
'm 0 162','Cluster 162 has too few spikes with too few similarities with other waveforms.'
'm 0 1','Cluster 1 waveforms do not repolarize quick enough.'
's 4','Cluster 4 waveforms have too much variability throughout; Cluster 4 waveforms contain multiple families of spikes down the hierarchy.'
