Action,Cluster IDs,Reason,Phase
DISCARD,344,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,355,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,365,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,397,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,414,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,456,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,461,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,463,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,475,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,476,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,478,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, likely reflecting multiple units. The ISI histogram shows a very high violation rate (25.96%), strongly indicating the presence of multiple neurons. The aggregation tree confirms high complexity with many overclusters. This cluster should be split to isolate cleaner single units. | last-merge split",Phase1_Iter1
DISCARD,1,"VLM: The waveform overlay does not show a clean neuronal shape: the waveforms are overly broad, lack a sharp negative trough, and display excessive baseline spread at the edges. Additionally, the ISI histogram shows extremely high refractory period violations (25.88%), indicating this is not a single neuron and likely contains noise or multiple units. This cluster does not meet neuronal criteria and should be discarded.",Phase1_Iter2
KEEP,239,"VLM: The waveform is clearly biphasic with a sharp negative trough and smooth return to baseline, meeting neuronal shape criteria. There is low waveform variability, no evidence of multiple waveform families, and the ISI histogram shows a very low violation rate (0.27%) with no bimodality, indicating a single, well-isolated unit.",Phase1_Iter2
KEEP,31,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, without extra phases or irregularities. The ISI histogram has a very low violation rate (0.03%) and no evidence of multiple units. Although the cluster is composed of many overclusters, there is no sign of distinct waveform families or temporal drift, so the cluster should be kept as is.",Phase1_Iter1
SPLIT,211,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some outlier traces, suggesting multiple waveform families. The ISI histogram shows a high violation rate (12.01%), indicating likely contamination by multiple units. The aggregation tree is complex, with 73 overclusters, supporting the presence of multiple subgroups. Splitting is warranted to isolate cleaner single units. | last-merge split",Phase1_Iter1
SPLIT,211,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (10.24%), indicating likely contamination by multiple units. The aggregation tree also shows a complex structure with many overclusters, supporting the need for splitting. | last-merge split",Phase1_Iter2
SPLIT,211,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (9.74%), indicating likely multi-unit contamination. The aggregation tree is complex, with many overclusters, supporting the need to split this cluster into tighter subgroups. | last-merge split",Phase1_Iter3
SPLIT,211,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (9.57%), indicating likely contamination by multiple units. The aggregation tree is complex, with 56 overclusters, supporting the need for further splitting to isolate cleaner subgroups. | last-merge split",Phase1_Iter4
SPLIT,211,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread indicating high variability. The ISI histogram shows a high violation rate (9.23%), suggesting multiple units are present. The aggregation tree reveals a complex structure with 51 overclusters, supporting the need for splitting into tighter subgroups. | last-merge split",Phase1_Iter5
SPLIT,211,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (8.86%), indicating likely contamination by multiple units. The aggregation tree confirms the presence of many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter6
SPLIT,211,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (8.64%), indicating likely multi-unit contamination. The aggregation tree also shows a complex structure with many overclusters, supporting the need for splitting. | last-merge split",Phase1_Iter7
SPLIT,211,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (7.46%), indicating likely contamination by multiple units. The aggregation tree confirms the presence of many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter8
SPLIT,211,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (7.08%), indicating likely contamination by multiple units. The aggregation tree also shows a complex structure with many overclusters, supporting the need for splitting. | last-merge split",Phase1_Iter9
SPLIT,211,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (6.4%), indicating likely multi-unit contamination. The aggregation tree confirms the presence of many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter10
KEEP,211,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, and no extra phases or irregularities. The ISI histogram has a low violation rate (0.42%) and no evidence of multiple units. While the cluster is composed of 6 overclusters, there is no sign of high waveform variability or temporal drift, so the cluster should be kept as is.",Phase1_Iter11
SPLIT,249,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (5.83%), indicating likely contamination by multiple units. The aggregation tree is complex, with 29 overclusters, supporting the need for further splitting. | last-merge split",Phase1_Iter11
SPLIT,249,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is considerable vertical spread and some variability, suggesting possible mixing of units. The ISI histogram shows a high refractory period violation rate (5.57%), indicating likely contamination by multiple neurons. The aggregation tree also shows a complex structure with many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter12
SPLIT,249,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability in the return to baseline, suggesting multiple waveform families. The ISI histogram shows a high violation rate (5.29%), indicating likely contamination by multiple units. The aggregation tree also shows a complex structure with many overclusters, supporting the need for splitting. | last-merge split",Phase1_Iter13
SPLIT,249,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (4.69%), indicating likely contamination by multiple units. The aggregation tree also shows a complex structure with many overclusters, supporting the need for splitting. | last-merge split",Phase1_Iter14
DISCARD,249,"VLM: The waveform overlay does not show a valid neuronal shape: it is monophasic, lacking the required sharp biphasic or triphasic pattern, and the baseline is not stable at the edges. This indicates the cluster is not composed of clean extracellular action potentials and should be discarded.",Phase1_Iter15
DISCARD,304,"VLM: The waveform does not exhibit a valid neuronal shape: it is multiphasic with more than three phases, showing extra bumps and a broad, irregular profile. The waveform lacks a clean, sharp negative trough and smooth return to baseline, indicating it is not a typical extracellular action potential.",Phase1_Iter15
KEEP,295,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, meeting all neuronal criteria. The ISI histogram has a low violation rate (0.92%) and no evidence of multiple units or bimodality. There is no significant waveform variability or drift, so the cluster should be kept as is.",Phase1_Iter14
KEEP,371,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, and the baseline is stable at the edges. The ISI histogram shows a low violation rate (0.53%) and no evidence of multiple units or bimodality. The aggregation tree shows only 3 overclusters with no sign of complex substructure, supporting a single-unit interpretation.",Phase1_Iter13
KEEP,385,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, without extra phases or irregularities. The ISI histogram shows 0% refractory violations and no evidence of multiple units or temporal drift, indicating a single, well-isolated neuron.",Phase1_Iter12
DISCARD,301,"VLM: The waveform overlay does not show a clean biphasic or triphasic neuronal shape. The waveforms are broad, lack a sharp negative trough, and display excessive baseline drift at the edges, violating neuronal shape criteria. Therefore, this cluster should be discarded.",Phase1_Iter10
DISCARD,412,"VLM: The waveform overlay does not show a valid neuronal shape: it is broad, lacks a sharp negative trough, and appears multiphasic with extra bumps and slow return to baseline. The waveform edges also show significant deviation from baseline, which is not typical for clean extracellular spikes. Therefore, this cluster does not meet the criteria for a neuronal unit.",Phase1_Iter9
DISCARD,387,"VLM: The waveform overlay does not show a valid neuronal shape: it is monophasic, broad, and lacks a clear biphasic or triphasic spike morphology. The waveform does not exhibit a sharp negative trough followed by a smooth return to baseline, and the baseline is not stable at the edges. Therefore, this cluster should be discarded as non-neuronal.",Phase1_Iter8
KEEP,294,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, and the baseline is stable at the edges. The ISI histogram shows a very low violation rate (0.13%) and no evidence of multiple units or bimodality. The aggregation tree indicates only two overclusters with no complex substructure, supporting a single unit.",Phase1_Iter7
DISCARD,388,"VLM: The waveform does not exhibit a valid neuronal shape: it is broad, lacks a sharp negative trough, and shows a slow, smooth undulation rather than a biphasic or triphasic spike. The overall morphology is inconsistent with extracellular action potentials, indicating this is likely noise or artifact rather than a neuron.",Phase1_Iter6
KEEP,280,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, without extra phases or irregularities. The ISI histogram has a low violation rate (0.44%) and no evidence of multiple units or bimodality. Although the cluster is composed of 5 overclusters, there is no indication of high waveform variability or temporal drift, so the cluster should be kept.",Phase1_Iter5
DISCARD,402,"VLM: The waveform does not exhibit a valid neuronal shape: it is multiphasic with more than three phases, showing extra bumps and a broad, irregular return to baseline. These features violate the criteria for a clean extracellular action potential, indicating this is not a neuronal cluster.",Phase1_Iter4
KEEP,325,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, and no extra phases or irregularities. The ISI histogram shows a very low violation rate (0.19%) and no evidence of multiple units. There is no significant waveform variability or temporal drift, so the cluster should be kept as is.",Phase1_Iter3
DISCARD,395,"VLM: The waveform overlay does not show a valid neuronal shape: it is monophasic, broad, and lacks a clear biphasic or triphasic spike morphology. The waveform is dominated by a single large negative deflection with no clear return to baseline or secondary phase, violating the criteria for extracellular action potentials. Therefore, this cluster should be discarded.",Phase1_Iter2
SPLIT,305,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability in the return to baseline, suggesting multiple waveform families. The ISI histogram shows a high violation rate (8.38%), indicating likely contamination by multiple units. The aggregation tree also shows a complex structure with many overclusters, supporting the need for splitting. | last-merge split",Phase1_Iter1
SPLIT,305,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (7.58%), indicating likely contamination by multiple units. The aggregation tree also shows a complex structure with many overclusters, supporting the need for splitting. | last-merge split",Phase1_Iter2
DISCARD,305,"VLM: The waveform overlay does not show a valid neuronal shape: it is broad, lacks a sharp negative trough, and appears multiphasic with no clear biphasic or triphasic structure. The waveform edges do not return cleanly to baseline, and the overall morphology is inconsistent with extracellular action potentials. Therefore, this cluster should be discarded.",Phase1_Iter3
DISCARD,331,"VLM: The waveform overlay does not show a valid neuronal shape: it is broad, lacks a sharp negative trough, and appears multiphasic with extra bumps and slow return to baseline. These features violate the criteria for a clean extracellular action potential, indicating the cluster is not neuronal.",Phase1_Iter3
DISCARD,446,"VLM: The waveform overlay shows a non-neuronal shape: it is multiphasic with more than three phases, lacking a clear, sharp negative trough and smooth return to baseline. The waveform appears oscillatory and does not match the expected biphasic or triphasic neuronal spike morphology, so this cluster should be discarded.",Phase1_Iter2
KEEP,353,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, meeting all neuronal criteria. The ISI histogram shows a low violation rate (0.69%) and no evidence of multiple units or bimodality. While the cluster is composed of 6 overclusters, there is no sign of high waveform variability or temporal drift, so no split is needed.",Phase1_Iter1
DISCARD,413,"VLM: The waveform overlay does not show a clean neuronal shape: it is broad, lacks a sharp negative trough, and the return to baseline is slow and not smooth. There are also large amplitude excursions at the edges, violating baseline stability. These features indicate the cluster is not neuronal.",Phase1_Iter1
KEEP,443,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, meeting all neuronal criteria. There is low waveform variability and the ISI histogram shows a low violation rate (1.08%) with no evidence of multiple units or significant drift, so no split is needed.",Phase1_Iter1
DISCARD,239,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
DISCARD,211,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
DISCARD,295,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
DISCARD,371,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
DISCARD,385,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
DISCARD,294,"VLM: Cluster 294's waveform does not meet neuronal criteria: it lacks a clear biphasic or triphasic shape, with a broad, noisy trough and unstable baseline at the edges. This suggests excessive noise or a non-neuronal origin, so the small cluster should be discarded regardless of similarity or ISI metrics.",Phase2
DISCARD,280,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
DISCARD,325,"VLM: Cluster 325's waveform does not meet neuronal criteria: it shows excessive edge excursions and baseline drift at both the beginning and end of the window, and the overall shape is not cleanly biphasic or triphasic. This indicates noise or a non-neuronal source, so the small cluster should be discarded regardless of similarity or ISI metrics.",Phase2
DISCARD,353,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
DISCARD,443,"VLM: Cluster 443's waveform does not meet neuronal criteria: it shows excessive edge excursions and baseline drift at the start and end, and the overall shape is not cleanly biphasic or triphasic. This suggests the cluster is too noisy or non-neuronal, so it should be discarded regardless of similarity to other clusters.",Phase2
