Actions,Action Reasoning,
'm 0 211',"Cluster 211 has too broad of a waveform; it also has far too high of ISI violations for the number of spikes it contains, and because the waveform is so broad, it is unlikely that any valid units are embedded within this cluster.",
'm 0 305',"Cluster 305 has too broad of a waveform; additionally it has too high of ISI violations for the number of spikes it contains, and it is unlikely that any valid clusters are embedded.",
'm 0 353',"Cluster 353 has too broad of a waveform, too few spikes at the end of the aggregation process, and the waveform does not fit physiological expectations for a extracellular waveform.",
'm 0 413',"Cluster 413 has too broad of a waveform, too few spikes at the end of the aggregation process with far too many ISI violations. The waveform does not fit physiological expectations for a extracellular waveform.",
'm 0 443',"Cluster 443 has too broad of a waveform, too few spikes at the end of the aggregation process with far too many ISI violations. The waveform does not fit physiological expectations for a extracellular waveform.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters.",
'm 0 239',"Cluster 239 has too broad of a waveform, too few spikes at the end of the aggregation process, and the waveform does not fit physiological expectations for a extracellular waveform.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters.",
'm 0 267',"Cluster 267 has too broad of a waveform, too few spikes at the end of the aggregation process, and the waveform does not fit physiological expectations for a extracellular waveform.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters. This split may yield one such component that is its own discrete unit.",
'm 0 227',"Cluster 227 has too broad of a waveform, too few spikes at the end of the aggregation process with far too many ISI violations. The waveform does not fit physiological expectations for a extracellular waveform.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters.",
'm 0 273',"Cluster 273 has too many phases within its waveform, over 3 distinct phases. Additionally, there is a lot of variability throughout its waveform.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters.",
'm 0 257',"Cluster 257 has too broad of a waveform, too few spikes at the end of the aggregation process, and the waveform does not fit physiological expectations for a extracellular waveform.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters. This split may yield one such component that is its own discrete unit.",
'm 0 197',"Cluster 197 has too broad of a waveform; it also has far too high of ISI violations for the number of spikes it contains, and because the waveform is so broad, it is unlikely that any valid units are embedded within this cluster.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters.",
'm 0 198',"Cluster 198 has too broad of a waveform, too few spikes at the end of the aggregation process, and the waveform does not fit physiological expectations for a extracellular waveform.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters. This split may yield one such component that is its own discrete unit.",
'm 0 168',"Cluster 168 has too broad of a waveform. Additionally, its initial negative phases are too shallow. Furthermore, its ISI violations are too high for the quantity of spikes. It is unlikely that there exist further units of sufficient event quanitity for a well-defined unit to be embedded within this cluster.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters.",
'm 0 134',Cluster 134 has too few spikes within the cluster with too much waveform variability.,
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters. This split may yield one such component that is its own discrete unit.",
'm 0 123',"Cluster 123 has too broad of a waveform; additionally it has too high of ISI violations for the number of spikes it contains, and it is unlikely that any valid clusters are embedded.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters. This split may yield one such component that is its own discrete unit.",
'm 0 90',"Cluster 90 has too broad of a waveform; additionally it has too high of ISI violations for the number of spikes it contains, and it is unlikely that any valid clusters are embedded.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters. This split may yield one such component that is its own discrete unit.",
'm 0 15',"Cluster 15 has too broad of a waveform; additionally, the cluster likely is established by the displacement from 0 at the beginning of its waveform. Furthermore, it is too variable at the beginning of its waveform. ",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are some densely packed components that are each composed of numerous subclusters.",
'm 0 18',"Cluster 18 has too broad of a waveform, too few spikes at the end of the aggregation process, and the waveform does not fit physiological expectations for a extracellular waveform.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are some densely packed components that are each composed of numerous subclusters.",
'm 0 181',"Cluster 181 has far too many phases within its waveform. Additionally, it is highly variable throughout its waveform. Furthermore, it has too few spikes.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are some densely packed components that are each composed of numerous subclusters.",
'm 0 150',Cluster 150 has too few spikes and too much variability within the second phase of its waveform as it returns from the negative to the positive amplitude values.,
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are some densely packed components that are each composed of numerous subclusters.",
'm 0 195',"Cluster 195 has too broad of a waveform, too few spikes at the end of the aggregation process, and the waveform does not fit physiological expectations for a extracellular waveform.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are some densely packed components that are each composed of numerous subclusters.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are some densely packed components that are each composed of numerous subclusters.",
'm 0 102',"Cluster 195 has too broad of a waveform, too few spikes at the end of the aggregation process, and the waveform does not fit physiological expectations for a extracellular waveform.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are some densely packed components that are each composed of numerous subclusters.",
'm 0 140',"Cluster 195 has too broad of a waveform, too few spikes at the end of the aggregation process, and the waveform does not fit physiological expectations for a extracellular waveform.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are some densely packed components that are each composed of numerous subclusters. This split may yield one such component that is its own discrete unit.",
'm 0 46',Cluster 46 has too broad of a waveform. It is unlikely that valid units exist within this cluster as the waveform variability is not sufficiently high to afford valid clusters to exist in the space embodied by this cluster.,
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters.",
'm 0 153',Cluster 153 has too few spikes with too much variability to hold up as its own cluster.,
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters.",
'm 0 103',"Cluster 103 has too much variaiblity in the latter samples of its waveform. Additionally, it gradually reaches the negative extrema, which is not characteristic of physiological extracellular signals of single neurons.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters.",
'm 0 75',"Cluster 73 has too many phases within its waveform. Additionally, it gradually reaches the negative extrema, which is not characteristic of physiological extracellular signals of single neurons.",
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters. This split may yield one such component that is its own discrete unit.",
's 1',"Cluster 1 has the potential to contain an embedded valid unit within: its waveform is not inconsistent with expectations of an extracellular neuronal waveform, but it currently has too much variaiblity and ISI violations to be excepted as a single unit.",
'm 0 59',"Cluster 59 has too many phases, and the waveforms begins in a partially positive state, and the negative descent is too slow to originate from a single neuron. Furthermore, there exists too much variability in later samples of the waveform. There are also too few spikes.",
's 1',"Cluster 1 has the potential to contain an embedded valid unit within: its waveform is not inconsistent with expectations of an extracellular neuronal waveform, but it currently has too much variaiblity and ISI violations to be excepted as a single unit.",
'm 0 74',Cluster 59 is not likely to originate from a single neuron as the negative descent is too slow. The waveforms begins in a partially positive state.,
's 1',"Cluster 1 has the potential to contain an embedded valid unit within: its waveform is not inconsistent with expectations of an extracellular neuronal waveform, but it currently has too much variaiblity and ISI violations to be excepted as a single unit.",
'm 0 4',Cluster 4 has too much waveform variability throughout the waveform with too few spikes to suggest that there could be a valid unit embedded within.,
's 1',"Cluster 1 has the potential to contain an embedded valid unit within: its waveform is not inconsistent with expectations of an extracellular neuronal waveform, but it currently has too much variaiblity and ISI violations to be excepted as a single unit.",
'm 0 20',"Cluster 20 has too slow of a descent into the negative minimum to be regarded as originating from a single neuron. Additionally, there is not sufficient waveform variability to suggest there is a valid unit embedded in this cluster.",
's 1',"Cluster 1 has the potential to contain an embedded valid unit within: its waveform is not inconsistent with expectations of an extracellular neuronal waveform, but it currently has too much variaiblity and ISI violations to be excepted as a single unit.",
'm 0 30',Cluster 30 has too slow of a descent into the negative minimum. There are also too few waveforms.,
's 1',"Cluster 1 has the potential to contain an embedded valid unit within: its waveform is not inconsistent with expectations of an extracellular neuronal waveform, but it currently has too much variaiblity and ISI violations to be excepted as a single unit.",
'm 0 24',"Cluster 24 has too much waveform variability and too few spikes to be a valid unit or component of a valid unit. Additionally, the waveform shape is bordering being too distinct from physiological expecations of an extracellular signal from a single neuron.",
's 1',"Cluster 1 has the potential to contain an embedded valid unit within: its waveform is not inconsistent with expectations of an extracellular neuronal waveform, but it currently has too much variaiblity and ISI violations to be excepted as a single unit.",
'm 0 35',Cluster 35 has too slow of a descent into the negative minimum. There are also too few waveforms.,
's 1',"Cluster 1 has the potential to contain an embedded valid unit within: its waveform is not inconsistent with expectations of an extracellular neuronal waveform, but it currently has too much variaiblity and ISI violations to be excepted as a single unit.",
'm 0 5',Cluster 5 has too slow of a descent into the negative minimum. There are also too few waveforms.,
's 1',"Cluster 1 has the potential to contain an embedded valid unit within: its waveform is not inconsistent with expectations of an extracellular neuronal waveform, but it currently has too much variaiblity and ISI violations to be excepted as a single unit.",
'm 0 1',Cluster 1 is unlikely to contain a valid unit. The waveform variaiblity is too high and the number of spikes is too low.,
m 0 10',"Cluster 10 is unlikely to contain a valid unit. The waveform is too wide, and the ISI violations are too high. Additionally, there is not enough structure nore waveform variability to infer that there is a valid embedded unit within this cluster.",
's 2',"Cluster 2 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters. Additionally it currently has too much waveform variaiblity to be excepted as a single unit.",
's 2',"Cluster 2 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters. Additionally it currently has too much waveform variaiblity to be excepted as a single unit. This split may yield one such component that is its own discrete unit.",
's 2',Cluster 2 has the potential to contain an embedded valid unit within its components: it currently has too much waveform variaiblity to be excepted as a single unit.,
'm 0 6',Cluster 6 is unlikely to contain a valid unit. The waveform variaiblity is too high and the number of spikes is too low.,
's 2',Cluster 2 has the potential to contain an embedded valid unit within its components: it currently has too much waveform variaiblity to be excepted as a single unit.,
