Action,Cluster IDs,Reason,Phase
DISCARD,160,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,172,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,179,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,183,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,188,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,191,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,192,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,193,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,194,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,198,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,199,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
SPLIT,1,"VLM: The waveform overlay shows a consistent, sharp negative trough with smooth return toward baseline, compatible with a neuronal biphasic extracellular spike. However, the ISI histogram has a very high fraction of <2 ms intervals (~16%), strongly suggesting multiple units, and the large number of overclusters with a complex aggregation tree further supports the presence of subclusters that should be separated. | last-merge split",Phase1_Iter1
SPLIT,1,"VLM: Waveforms show a consistent, sharp negative trough with smooth return toward baseline and no extra phases, consistent with a valid neuronal extracellular spike. However, the ISI histogram exhibits a high fraction of refractory period violations (~16%), and the large, complex aggregation tree with many overclusters suggests multiple units are merged, so this cluster should be split into tighter subgroups. | last-merge split",Phase1_Iter2
SPLIT,1,"VLM: The waveform overlay shows a consistent, sharp biphasic extracellular spike with a clear negative trough and smooth repolarization, indicating valid neuronal morphology. However, the ISI histogram shows a high rate of refractory violations (~9.5%), and the cluster aggregates 126 overclusters, both suggesting that multiple units are merged. Therefore this neuronal cluster should be split into tighter subclusters. | last-merge split",Phase1_Iter3
SPLIT,1,"VLM: Waveforms show a clear, sharp negative trough with smooth return to baseline, consistent with a valid neuronal spike shape, though amplitudes are quite broad. The ISI histogram exhibits substantial refractory period violations (~9%) and a strong short-interval mode, suggesting multiple units are merged. Given the large spike count and complex aggregation tree with many overclusters, this cluster should be split into tighter subclusters. | last-merge split",Phase1_Iter4
SPLIT,1,"VLM: The waveform overlay shows a consistent, sharp negative trough with smooth return to baseline, compatible with a valid biphasic neuronal spike shape, so the cluster is neuronal. However, the ISI histogram shows substantial refractory violations (~8.6% with many ISIs < 2 ms), and the large spike count with 118 overclusters and a complex aggregation tree suggest multiple units are merged. Therefore this cluster should be split into tighter subclusters. | last-merge split",Phase1_Iter5
SPLIT,1,"VLM: Waveforms show a consistent, sharp negative-going spike with smooth return to baseline, indicating clear neuronal morphology. However, the ISI histogram shows substantial refractory violations (~8%), and the cluster is composed of many overclusters, suggesting multiple units or contamination. Therefore, this neuronal cluster should be split into tighter subclusters. | last-merge split",Phase1_Iter6
SPLIT,1,"VLM: Waveforms show a clear, consistent biphasic extracellular spike shape with a sharp negative trough and smooth repolarization, indicating neuronal activity. However, the ISI histogram shows substantial refractory violations (~8%) suggestive of multiple units, and the large number of overclusters in the aggregation tree supports the presence of separable subclusters that should be split. | last-merge split",Phase1_Iter7
SPLIT,1,"VLM: Waveforms show a consistent, sharp biphasic/triphasic spike shape with stable baseline, indicating a neuronal cluster. However, the ISI histogram has a high rate of refractory violations (~8%) and the aggregation tree is complex with many overclusters, suggesting multiple units are merged and the cluster should be split into tighter subgroups. | last-merge split",Phase1_Iter8
SPLIT,1,"VLM: Waveforms show a consistent, sharp negative-going spike with smooth repolarization and no extra phases, indicating a valid neuronal shape despite amplitude spread. However, the ISI histogram exhibits a high rate of refractory violations (~7.7%), suggesting multiple units are mixed. Combined with the large spike count and complex aggregation tree, this cluster should be split into tighter subclusters. | last-merge split",Phase1_Iter9
SPLIT,1,"VLM: The waveform overlay shows a consistent, sharp biphasic extracellular spike with stable baseline, indicating clear neuronal morphology. However, there is substantial vertical spread suggesting multiple amplitude families, and the ISI histogram shows a high rate of refractory violations (~7%), consistent with multiple units being merged. The complex aggregation tree with many overclusters further supports that this large cluster likely contains several distinct units that should be separated. | last-merge split",Phase1_Iter10
SPLIT,1,"VLM: Waveforms show a clear, consistent biphasic neuronal spike shape with stable baseline and no obvious non-neuronal morphology. However, the ISI histogram has a substantial fraction of refractory violations (~4.5%), suggesting more than one unit is present, and the large spike count with many overclusters supports the likelihood of multiple embedded units. Therefore, this cluster should be split into tighter subclusters. | last-merge split",Phase1_Iter11
SPLIT,1,"VLM: Waveforms show a clear, sharp negative trough with a smooth return and consistent biphasic/triphasic morphology, indicating valid neuronal spikes, though with substantial amplitude spread across events. The ISI histogram shows ~2.8% refractory violations and elevated counts at very short ISIs, consistent with a mixture of units. The complex aggregation tree with many overclusters further suggests that multiple subclusters can likely be separated from this large multi-unit cluster. | last-merge split",Phase1_Iter12
KEEP,1,"VLM: Waveforms show a consistent, sharp biphasic/triphasic neuronal shape with a clear negative trough and smooth return to baseline, without evidence of multiple distinct waveform families. The ISI histogram shows a modest refractory violation rate (~2.7%) but otherwise a decaying distribution, and the hierarchical tree does not suggest strong separable subclusters that would justify splitting.",Phase1_Iter13
KEEP,77,"VLM: Waveforms show a consistent biphasic/triphasic neuronal morphology with a sharp negative trough and smooth repolarization back to baseline, without extra phases or drifts. The ISI histogram shows very few refractory violations (0.11%), and the simple two-node aggregation tree does not suggest distinct subclusters that require splitting.",Phase1_Iter13
DISCARD,38,"VLM: The waveform overlay shows a largely monophasic negative deflection riding on a large positive offset, without a clear biphasic or triphasic extracellular spike shape. Baseline at the beginning and end is far from zero and remains elevated, indicating substantial DC offset and invalid neuronal morphology despite the large spike count.",Phase1_Iter12
SPLIT,54,"VLM: Waveforms show a clear, consistent extracellular spike shape with a sharp negative trough and smooth recovery, so the cluster is neuronal. However, the ISI histogram shows substantial refractory period violations (~5.7% <2 ms), and the aggregation tree contains many overclusters that could represent distinct embedded units. This suggests the cluster likely contains multiple neurons and should be split into tighter subclusters. | last-merge split",Phase1_Iter11
DISCARD,54,"VLM: The waveform overlay shows a broad, largely monophasic V-shaped deflection with substantial baseline offset across the window, lacking a clear biphasic/triphasic spike morphology and smooth return to a stable baseline. This suggests non-neuronal or heavily contaminated activity, so the cluster should be discarded rather than split.",Phase1_Iter12
KEEP,118,"VLM: Waveforms show a consistent, clean biphasic/triphasic extracellular spike shape with a sharp negative trough and smooth repolarization back to baseline, indicating a single neuronal unit. The ISI histogram has minimal refractory violations (0.17%) and the simple 2-overcluster tree does not suggest distinct subclusters, so no further splitting is warranted.",Phase1_Iter12
KEEP,86,"VLM: Waveforms are clearly neuronal with a consistent sharp negative trough and smooth biphasic/triphasic shape, and only modest amplitude variability without distinct waveform families. The ISI histogram shows a low refractory violation rate (~0.7%) without a bimodal structure, and the aggregation tree is simple, not suggesting multiple embedded units that require splitting.",Phase1_Iter10
KEEP,68,"VLM: Waveforms show a consistent, sharp negative trough with smooth repolarization and no extra phases, matching a valid neuronal spike shape. Variability is mainly in amplitude rather than distinct waveform families, and the ISI histogram shows low refractory violations without evidence for multiple units, so no split is needed.",Phase1_Iter9
KEEP,55,"VLM: Waveforms show a consistent, sharp biphasic/triphasic extracellular spike shape with a clear negative trough and smooth repolarization, without extra phases or irregularities. The ISI histogram shows very few refractory violations (~0.33%) and no evidence of multiple units or strong drift, and the simple aggregation tree with only 2 similar overclusters supports treating this as a single neuronal unit.",Phase1_Iter8
KEEP,70,"VLM: Waveforms show a consistent, sharp biphasic extracellular spike with a well-defined negative trough and smooth repolarization, and baseline remains stable without extra phases. The ISI histogram shows no refractory period violations and there is only a single overcluster with no evidence of multiple waveform families, so no splitting is needed.",Phase1_Iter7
