Action,Cluster IDs,Reason,Phase
DISCARD,228,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,232,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,243,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,282,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,289,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,296,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,307,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,315,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,320,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,321,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,322,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,323,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,324,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,329,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,331,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,333,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,334,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,335,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,336,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,337,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,339,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,340,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,1,VLM: ,Phase1_Iter1
DISCARD,218,VLM: ,Phase1_Iter1
DISCARD,222,VLM: ,Phase1_Iter1
